close,wma,hma
1196.6,1176.51,1162.62
1207.67,1183.44,1167.5
1191,1186.36,1174.28
1194.44,1189.48,1181.22
1188.32,1190.85,1187.42
1207.29,1194.96,1191.76
1204.01,1197.51,1194.48
1203.91,1199.32,1195.92
1196.77,1199.23,1197.05
1199.09,1199.44,1197.99
1211.07,1201.65,1199.1
1198.09,1201.24,1200.45
1182.41,1198.15,1201.25
1165.61,1192.16,1201.22
1154.49,1184.68,1199.39
1169.45,1180.53,1195.52
1160.23,1175.39,1189.73
1168.05,1172.47,1182.66
1185.34,1173.34,1175.69
1194.6,1176.11,1170.74
1189.35,1178.01,1169.12
1199.86,1182.21,1170.64
1201.36,1186.65,1174.88
1209.27,1192.18,1180.46
1211.78,1197.38,1186.51
1228.49,1204.57,1192.42
1239.06,1212.61,1197.98
1240.03,1219.39,1203.92
1227.41,1222.58,1210.47
1231.04,1225.65,1217.05
1207.25,1223.74,1223.01
1190.65,1218.48,1226.99
1191.01,1213.46,1227.58
1165.51,1203.99,1224.57
1184.55,1198.78,1217.68
1171.23,1191.64,1208.9
1173.56,1185.96,1199.35
1154.44,1178,1190.68
1135.16,1168.09,1183.21
1131.52,1159.2,1176.6
1110.7,1148.33,1169.73
1125.78,1141.95,1161.63
1132.83,1138.04,1152.63
1139.93,1136.48,1143.44
1153.66,1137.88,1136.26
1138.63,1137.1,1132.21
1141.5,1137.44,1131.68
1115.19,1133.59,1133.67
1099.15,1127.52,1135.96
1117.95,1125.53,1136.39
1118.53,1123.9,1134.06
1127.1,1123.68,1129.69
1158.07,1129.06,1124.72
1162.93,1134.87,1121.93
1158.22,1139.41,1122.94
1153.01,1142.92,1127.7
1165.73,1148.47,1135.14
1163.41,1153.17,1143.13
1173.09,1158.75,1150.14
1173.24,1163.01,1155.79
1159.05,1163.68,1159.77
1152.91,1162.51,1162.5
1147.43,1159.86,1164.24
1151.09,1158.08,1164.4
1165.98,1159.22,1163.01
1171.32,1161.19,1160.78
1172.11,1162.97,1158.9
1188.74,1167.65,1158.25
1198.07,1173.57,1160.09
1194.15,1178.33,1164.4
1201.8,1184.1,1170.36
